SCHOOL,CITY,STATE,CLASS
A.P. Brewer High School,Somerville,AL,5A
Abbeville High School,Abbeville,AL,2A
Abercorn Charter Academy,Savannah,GA,2A
ACE Charter,Macon,GA,2A
Adairsville,Adairsville,GA,3A
Addison High School,Addison,AL,1A
Alabama Christian Academy,Montgomery,AL,3A
Alcovy,Covington,GA,6A
Alcovy,Covington,GA,5A
Alexander,Douglasville,GA,6A
Alexandria High School,Alexandria,AL,4A
Aliceville High School,Aliceville,AL,2A
Alpharetta,Alpharetta,GA,6A
American Christian Academy,Tuscaloosa,AL,4A
Andalusia High School,Andalusia,AL,5A
Anniston High School,Anniston,AL,4A
Apalachee,Bethlehem,GA,5A
Appalachian High School,Oneonta,AL,1A
Appling County,Baxley,GA,3A
Arab High School,Arab,AL,5A
Arabia Mountain,Lithonia,GA,5A
Archer,Lawrenceville,GA,7A
Ardmore High School,Ardmore,AL,5A
Ariton High School,Ariton,AL,2A
Asbury High School,Albertville,AL,3A
Ashford High School,Ashford,AL,4A
Ashville High School,Ashville,AL,4A
Athens High School,Athens,AL,7A
Auburn High School,Auburn,AL,7A
Autauga Academy,Prattville,AL,1A
Autaugaville School,Autaugaville,AL,1A
B.B. Comer High School,Sylacauga,AL,3A
B.C. Rain High School,Mobile,AL,5A
Bacon County,Alma,GA,1A
Baker High School,Mobile,AL,7A
Banks County,Homer,GA,3A
Banneker,College Park,GA,5A
Barbour County High School,Clayton,AL,2A
Bayshore Christian School,Fairhope,AL,2A
Bayside Academy,Daphne,AL,3A
Beauregard High School,Opelika,AL,5A
Belgreen High School,Belgreen,AL,2A
Benedictine,Savannah,GA,4A
Berkeley Lake,Duluth,GA,7A
Berrien,Nashville,GA,2A
Berry High School,Berry,AL,1A
Bessemer City High School,Bessemer,AL,7A
Beulah High School,Valley,AL,3A
Bibb County High School,Centreville,AL,4A
Billingsley High School,Billingsley,AL,1A
Bleckley County,Cochran,GA,3A
Boaz High School,Boaz,AL,5A
Bob Jones High School,Madison,AL,7A
Booker T. Washington High School,Tuskegee,AL,4A
Bowdon,Bowdon,GA,2A
Bradwell Institute,Hinesville,GA,5A
Brantley County,Nahunta,GA,3A
Brantley High School,Brantley,AL,1A
Bremen,Bremen,GA,3A
Briarwood Christian School,Birmingham,AL,5A
Brilliant High School,Brilliant,AL,1A
Brindlee Mountain High School,Guntersville,AL,3A
Brooks High School,Killen,AL,4A
Brookwood High School,Brookwood,AL,7A
Brunswick,Brunswick,GA,6A
Bryan County,Richmond Hill,GA,1A
Bullock County High School,Union Springs,AL,4A
Burke County,Waynesboro,GA,2A
Butler,Augusta,GA,2A
Cairo,Cairo,GA,3A
Calera High School,Calera,AL,7A
Calhoun County,Edison,GA,3A
Calhoun High School,Letohatchee,AL,2A
